mockID,"Your reaction time in milliseconds (ms)
1. Enter a numerical response ranging from 0 to 700, inclusive.
2. Provide a number only, without specifying the unit.",Class,"Age
Enter a numeric response between 0 and 99 inclusive.
","Average daily sleep time (for the last 7 days)
Enter a numeric response between 0 and 24 inclusive.

","Last night's sleep time
Enter a numeric response between 0 and 24 inclusive.
","Number of hours has been awake continuously until the gameplay
Enter a numeric response between 0 and 24 inclusive.
",Level of Fatigue (during the gameplay),Level of Stress (during the gameplay),Experience distractions during gameplay,"The noise level in your surroundings, with 1 being extremely quiet and 10 being extremely loud, during gameplay",Surrounding temperature during gameplay,"Frequency of playing video games that require quick reactions
Please select one of the following options: ","Frequency of playing sports relevant to reaction practice (such as baseball, tennis, football, badminton, basketball, soccer, etc.) Please select one of the following options: ","Average number of hours spent on exercise per week
Provide a number (in hours) only, without specifying the unit.
","Consumed any caffeinated beverages (such as coffee, energy drinks) within the last 3 hours?",Consumed any alcoholic beverages within the last 5 hours?,Visual acuity after correction (with glasses or contact lenses),Hand primarily use for writing and other manual tasks,Dominant hand used during gameplay?,How cautious would you describe yourself?,Input device used for the gameplay,Device or operating system used for the gameplay,Wi-Fi connection stable?
MJJXGR,180,Sophomore,20,7,8,10,Not fatigued at all,Very Low,No,5,Neutral,Several times a month,Several times a month,5,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Ambidextrous (both hands equally),Yes,Moderately cautious,Mouse,Desktop computer - Windows,Stable
JHJZMT,278,Sophomore,19,7,7,6,Slightly Fatigued,Low,No,8,Warm,Rarely,Several times a month,6,Yes,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Slightly cautious,Trackpad,Laptop - macOS,Stable
VQTCNE,350,Senior,22,8,5,4,Slightly Fatigued,Low,No,3,Neutral,Daily,Once a week,5,No,No,"Good (Minor issues, but overall clear): I experience slight blurriness or minor focus issues.",Right hand,Yes,Slightly cautious,Mouse,Laptop - Windows,Stable
CKJWEX,267,Graduate,24,6,5,6,Moderately fatigued,High,No,2,Neutral,Several times a week,Rarely,3,No,No,"Good (Minor issues, but overall clear): I experience slight blurriness or minor focus issues.",Left hand,Yes,Moderately cautious,Touch screen,iPhone (Smartphone - IOS),Stable
MBKMNF,229,Sophomore,20,7,6,5,Slightly Fatigued,Low,Yes,9,Neutral,Rarely,Rarely,1,No,No,"Good (Minor issues, but overall clear): I experience slight blurriness or minor focus issues.",Right hand,Yes,Slightly cautious,Trackpad,Laptop - macOS,Stable
VUYTMM,225,Junior,20,7,8,5,Slightly Fatigued,Moderate,No,3,Neutral,Several times a month,Several times a month,10,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Ambidextrous (both hands equally),Yes,Moderately cautious,Trackpad,Laptop - macOS,Stable
YYKWZD,200,Sophomore,20,6,5,1,Moderately fatigued,Moderate,Yes,6,Neutral,Several times a week,Several times a month,7,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Moderately cautious,Trackpad,Laptop - macOS,Stable
GJQRHS,282,Sophomore,20,10,8,4,Moderately fatigued,Moderate,Yes,8,Neutral,Never,Never,7,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Very cautious,Trackpad,Laptop - macOS,Stable
OWYSML,272,Sophomore,19,8.5,9,4.25,Not fatigued at all,Low,Yes,Thank 7,Neutral,Rarely,Rarely,2,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Moderately cautious,Trackpad,Laptop - macOS,Stable
IKGMEK,412,Senior,21,7,6,6,Slightly Fatigued,Low,No,3,Neutral,Several times a month,Rarely,4,Yes,No,"Good (Minor issues, but overall clear): I experience slight blurriness or minor focus issues.",Right hand,Yes,Slightly cautious,Mouse,Laptop - Windows,Stable
KSJWBY,330,Junior,20,8,8,3,Slightly Fatigued,Low,No,5,Warm,Several times a month,Several times a month,2,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Moderately cautious,Trackpad,Desktop computer - macOS,Stable
QLUBRL,271,Junior,21,8,9,4,Moderately fatigued,Low,No,7,Neutral,Rarely,Rarely,0,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Moderately cautious,Trackpad,Laptop - macOS,Stable
WRXHTX,475,Senior,21,8,7.5,4,Moderately fatigued,Moderate,Yes,3,Neutral,Several times a month,Rarely,2.4,No,No,Average (Some noticeable issues): I have noticeable difficulties with clarity or focus.,Right hand,Yes,Slightly cautious,Trackpad,Laptop - macOS,Stable
IUWPIB,214,Sophomore,19,8.5,8,3,Not fatigued at all,Moderate,No,7,Neutral,Several times a month,Rarely,4,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Moderately cautious,Trackpad,Laptop - macOS,Stable
CHBAIW,245,Junior,21,7.5h,7h4min,4.5h,Moderately fatigued,Very Low,No,5,Neutral,Daily,Several times a week,2h,Yes,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Moderately cautious,Trackpad,Laptop - macOS,Stable
EUDWCO,351,Senior,22,7,7,12 hours,Very fatigued,High,Yes,7,Neutral,Several times a month,Never,1,No,No,"Good (Minor issues, but overall clear): I experience slight blurriness or minor focus issues.",Right hand,Yes,Slightly cautious,Touch screen,iPhone (Smartphone - IOS),Stable
LHPGGA,254,Sophomore,19,8,5,12,Moderately fatigued,Moderate,No,5,Warm,Daily,Never,1,No,No,"Good (Minor issues, but overall clear): I experience slight blurriness or minor focus issues.",Right hand,Yes,Very cautious,Trackpad,Laptop - macOS,Stable
RCHNIO,235,Sophomore,19,8,7,3,Moderately fatigued,Moderate,Yes,4,Neutral,Several times a month,Several times a week,10,No,No,Average (Some noticeable issues): I have noticeable difficulties with clarity or focus.,Right hand,Yes,Slightly cautious,Keyboard,Laptop - macOS,Stable
BATDZZ,244,Sophomore,19,6,7,4,Not fatigued at all,Low,No,3,Neutral,Rarely,Several times a month,6,No,No,Excellent (No issues with clarity or focus): My vision is crystal clear without any difficulty.,Right hand,Yes,Moderately cautious,Trackpad,Laptop - macOS,Stable
IYZTEI,463,Junior,21,7,6,8,Moderately fatigued,Moderate,No,5,Neutral,Daily,Rarely,4,No,No,Average (Some noticeable issues): I have noticeable difficulties with clarity or focus.,Right hand,Yes,Moderately cautious,Touch screen,iPhone (Smartphone - IOS),Stable
IEWNNF,246,Junior,21,8,7,4,Moderately fatigued,Moderate,No,5,Neutral,Once a week,Once a week,2,No,No,Average (Some noticeable issues): I have noticeable difficulties with clarity or focus.,Left hand,Yes,Moderately cautious,Touch screen,iPhone (Smartphone - IOS),Unstable
HWYUMR,202,Junior,21,5,4,6,Slightly Fatigued,Very Low,Yes,4,Neutral,Rarely,Rarely,2,No,No,"Good (Minor issues, but overall clear): I experience slight blurriness or minor focus issues.",Right hand,Yes,Very cautious,Touch screen,iPad (Tablet - IOS),Stable
