DEMAND,PRICE,X,Pred_DEMAND,P,1/P,Dhat
1120,3,0.333333333,1088.886939,3,0.333333333,1089.333333
999,3.1,0.322580645,1015.681495,3.01,0.332225914,1081.79402
932,3.2,0.3125,947.0513907,3.02,0.331125828,1074.304636
884,3.3,0.303030303,882.5806867,3.03,0.330033003,1066.864686
807,3.4,0.294117647,821.9023777,3.04,0.328947368,1059.473684
760,3.5,0.285714286,764.6913998,3.05,0.327868852,1052.131148
701,3.6,0.277777778,710.6588102,3.06,0.326797386,1044.836601
688,3.7,0.27027027,659.5469009,3.07,0.325732899,1037.589577
,,,,3.08,0.324675325,1030.38961
,,,,3.09,0.323624595,1023.236246
,,,,3.1,0.322580645,1016.129032
,,,,3.11,0.321543408,1009.067524
,,,,3.12,0.320512821,1002.051282
,,,,3.13,0.319488818,995.0798722
,,,,3.14,0.318471338,988.1528662
,,,,3.15,0.317460317,981.2698413
,,,,3.16,0.316455696,974.4303797
,,,,3.17,0.315457413,967.6340694
,,,,3.18,0.314465409,960.8805031
,,,,3.19,0.313479624,954.169279
,,,,3.2,0.3125,947.5
,,,,3.21,0.31152648,940.8722741
,,,,3.22,0.310559006,934.2857143
,,,,3.23,0.309597523,927.7399381
,,,,3.24,0.308641975,921.2345679
,,,,3.25,0.307692308,914.7692308
,,,,3.26,0.306748466,908.3435583
,,,,3.27,0.305810398,901.9571865
,,,,3.28,0.304878049,895.6097561
,,,,3.29,0.303951368,889.3009119
,,,,3.3,0.303030303,883.030303
,,,,3.31,0.302114804,876.7975831
,,,,3.32,0.301204819,870.6024096
,,,,3.33,0.3003003,864.4444444
,,,,3.34,0.299401198,858.3233533
,,,,3.35,0.298507463,852.238806
,,,,3.36,0.297619048,846.1904762
,,,,3.37,0.296735905,840.1780415
,,,,3.38,0.295857988,834.2011834
,,,,3.39,0.294985251,828.259587
,,,,3.4,0.294117647,822.3529412
,,,,3.41,0.293255132,816.4809384
,,,,3.42,0.292397661,810.6432749
,,,,3.43,0.29154519,804.8396501
,,,,3.44,0.290697674,799.0697674
,,,,3.45,0.289855072,793.3333333
,,,,3.46,0.289017341,787.6300578
,,,,3.47,0.288184438,781.9596542
,,,,3.48,0.287356322,776.3218391
,,,,3.49,0.286532951,770.7163324
,,,,3.5,0.285714286,765.1428571
,,,,3.51,0.284900285,759.6011396
,,,,3.52,0.284090909,754.0909091
,,,,3.53,0.283286119,748.611898
,,,,3.54,0.282485876,743.1638418
,,,,3.55,0.281690141,737.7464789
,,,,3.56,0.280898876,732.3595506
,,,,3.57,0.280112045,727.0028011
,,,,3.58,0.279329609,721.6759777
,,,,3.59,0.278551532,716.3788301
,,,,3.6,0.277777778,711.1111111
,,,,3.61,0.27700831,705.8725762
,,,,3.62,0.276243094,700.6629834
,,,,3.63,0.275482094,695.4820937
,,,,3.64,0.274725275,690.3296703
,,,,3.65,0.273972603,685.2054795
,,,,3.66,0.273224044,680.1092896
,,,,3.67,0.272479564,675.0408719
,,,,3.68,0.27173913,670
,,,,3.69,0.27100271,664.9864499
,,,,3.7,0.27027027,660
